COMPANY,CIK,SIC
RONCO CORP,869498,5960
RONSON CORP,84919,2890
ROO GROUP INC,1076700,8900
ROOMLINX INC,1021096,8742
ROPER INDUSTRIES INC /DE/,882835,3823
ROSS STORES INC,745732,5651
ROTECH HEALTHCARE INC,1175108,8082
Rotoblock CORP,1289441,3621
ROTONICS MANUFACTURING INC/DE,801873,3089
ROWAN COMPANIES INC,85408,1381
ROWE COMPANIES,85417,2510
ROYAL & SUN ALLIANCE INSURANCE GROUP PLC,1126313,6331
ROYAL AHOLD,869425,5411
ROYAL BANCSHARES OF PENNSYLVANIA INC,922487,6022
ROYAL BANK OF CANADA \,1000275,6029
ROYAL BANK OF SCOTLAND GROUP PLC,844150,6029
ROYAL CARIBBEAN CRUISES LTD,884887,4400
"Royal Financial, Inc.",1303531,6036
ROYAL GOLD INC,85535,6795
ROYAL GROUP TECHNOLOGIES LTD,1047693,3080
Royal Spring Water Inc,1121598,2086
ROYAL STANDARD MINERALS INC,1027162,1000
ROYALE ENERGY INC,864839,1311
RPC INC,742278,1389
RPM INTERNATIONAL INC/DE/,110621,2851
RPM TECHNOLOGIES INC,1099150,3089
RR Donnelley & Sons Co,29669,2750
RS GROUP OF COMPANIES INC,1200202,7389
RSA SECURITY INC/DE/,932064,3577
RTG VENTURES INC,1127475,5141
RTI INTERNATIONAL METALS INC,1068717,3350
RTO HOLDINGS INC,812355,7330
RTW INC /MN/,915781,6331
RUB A DUB SOAP INC,1169138,2840
RUBICON MINERALS CORP,1057791,1000
RUBINCON VENTURES INC,1081078,1000
RUBIOS RESTAURANTS INC,1082423,5812
RUBY TUESDAY INC,68270,5812
RUDDICK CORP,85704,5411
RUDOLPH TECHNOLOGIES INC,1094392,3823
RURAL CELLULAR CORP,869561,4812
RURAL ELECTRIC COOPERATIVE GRANTOR TRUST KEPCO SERIES 1997,1058926,6189
RURAL/METRO CORP /DE/,906326,4100
RURBAN FINANCIAL CORP,767405,6022
RUSH ENTERPRISES INC \TX\,1012019,5500
RUSH FINANCIAL TECHNOLOGIES INC,884892,6211
RUSS BERRIE & CO INC,739878,3942
RUSSEL METALS INC,903657,5051
RUSSELL CORP,85812,2253
RUSSIAN ATHENA INC,1092797,9995
RYANAIR HOLDINGS PLC,1038683,4512
RYANS RESTAURANT GROUP INC,355622,5812
RYDER SYSTEM INC,85961,7510
RYERSON INC.,790528,5051
RYLAND GROUP INC,85974,1531
S Wind-up CORP,1058425,7372
S Y BANCORP INC,835324,6022
S&C HOLDCO 3 INC,1199114,2013
S&P LINKED INVESTMENT TRUST CERT SERIES 1997-SP-1,1045234,6189
S&T BANCORP INC,719220,6022
"S.E. ASIA TRADING COMPANY, INC.",1292087,5900
S1 CORP /DE/,1063254,7370
SABA SOFTWARE INC,1070380,7372
SABINE ROYALTY TRUST,710752,6792
SABRE HOLDINGS CORP,1020265,4700
SADDLEBROOK RESORTS INC,313151,6500
SADIA S.A.,1130968,200
SAFARI ASSOCIATES INC,922011,5731
SAFE TECHNOLOGIES INTERNATIONAL INC,829117,7370
SAFE TRAVEL CARE INC,1080398,7389
SAFECO CORP,86104,6331
SAFEGUARD SCIENTIFICS INC,86115,7389
SAFENET INC,850313,3663
SAFETEK INTERNATIONAL INC,833080,2834
SAFETY COMPONENTS INTERNATIONAL INC,918964,3714
SAFETY INSURANCE GROUP INC,1172052,6331
SAFEWAY INC,86144,5411
SAFLINK CORP,847555,7370
SAGA COMMUNICATIONS INC,886136,4832
SAGEMARK COMPANIES LTD,89041,8093
SAIA INC,1177702,4213
SAKS CREDIT CARD MASTER TRUST,1043096,6189
SAKS INC,812900,5311
SALAMON GROUP INC,1274211,3621
SALEM COMMUNICATIONS CORP /DE/,1050606,4832
SALESFORCE COM INC,1108524,7372
SALISBURY BANCORP INC,1060219,6035
SALIX PHARMACEUTICALS LTD,1009356,2834
SALOMON SMITH BARNEY AAA ENERGY FUND II LP,1227268,6221
SALOMON SMITH BARNEY DIVERSIFIED 2000 FUTURES FUND LP,1095007,6221
SALOMON SMITH BARNEY FAIRFIELD FUTURES FUND L P,1170406,6221
SALOMON SMITH BARNEY GLOBAL DIVERSIFIED FUTURES FUND L P,1068237,6221
SALOMON SMITH BARNEY ORION FUTURES FUND LP,1227265,6221
SALON MEDIA GROUP INC,1084332,7310
SALTON INC,878280,3634
SAMARITAN PHARMACEUTICALS INC,1057377,8731
SAMEX MINING CORP,766504,1000
SAMI II AMERICAN HOME MTG BACK NTS SER 2003-1,1274973,6189
SAMSONITE CORP/FL,914478,3100
Samurai Energy Corp.,847416,1311
SAN DIEGO GAS & ELECTRIC CO,86521,4931
SAN HOLDINGS INC,799097,3572
SAN JUAN BASIN ROYALTY TRUST,319655,6792
SAN TELMO ENERGY LTD,1125663,1000
"Sancon Resources Recovery, Inc.",1288195,7389
SAND TECHNOLOGY INC,753050,7372
SANDERS MORRIS HARRIS GROUP INC,1071341,6199
SANDERSON FARMS INC,812128,2015
SANDISK CORP,1000180,3572
SANDS REGENT,753899,7990
SANDSTON CORP,892832,3571
SANDY SPRING BANCORP INC,824410,6021
SANFILIPPO JOHN B & SON INC,880117,2060
SANGAMO BIOSCIENCES INC,1001233,2836
SANGUI BIOTECH INTERNATIONAL INC,1104280,2834
SANGUINE CORP,926287,2835
SANMINA-SCI CORP,897723,3672
SANOFI-AVENTIS,1121404,2834
SANPAOLO IMI SPA,939187,6029
SANTA FE ENERGY TRUST,893486,6792
SANTA FE FINANCIAL CORP,86759,6500
SANTANDER BANCORP,1099958,6021
SANTARUS INC,1172480,2834
SAP AKTIENGESELLSCHAFT SYSTEMS APPLICATIONS PRODUCTS IN DATA,1000184,7372
SAPIENS INTERNATIONAL CORP N V,885740,7372
SAPIENT CORP,1008817,7373
SAPPI LTD,1072483,2670
SARATOGA RESOURCES INC /TX,1096339,1382
SASCO MORTGAGE LOAN TRUST SERIES 2004-GEL2,1296333,6189
"SASCO Mortgage Pass-through Certificates, Series 2004-S4",1310234,6189
SASOL LTD,314590,1311
SATCON TECHNOLOGY CORP,889423,3674
SATELITES MEXICANOS SA DE CV,1063131,4812
SATELLITE NEWSPAPERS CORP,1061688,2750
SATELLITE SECURITY CORP,1084088,7373
SATYAM COMPUTER SERVICES LTD,1106056,7371
SAUER DANFOSS INC,865754,3590
SAUL B F REAL ESTATE INVESTMENT TRUST,86902,6035
SAUL CENTERS INC,907254,6798
SAVANNAH BANCORP INC,860519,6021
SAVE THE WORLD AIR INC,1103795,5070
"SaVi Media Group, Inc.",1096637,3714
SAVIENT PHARMACEUTICALS INC,722104,2833
SAVOY RESOURCES CORP,1113190,6200
"SAVVIS, Inc.",1058444,7389
SAXON ASSET SECURITIES CO TRUST 2004-1,1280729,6189
Saxon Asset Securities Trust 2004-2,1299037,6189
Saxon Asset Securities Trust 2004-3,1307192,6189
SAXON CAPITAL INC,1279493,6798
SB PARTNERS,87047,6512
SBA COMMUNICATIONS CORP,1034054,4899
SBARRO INC,766004,5812
"SBD International, Inc",1106643,9995
SBE INC,87050,3576
SBS INTERACTIVE CO,1085220,7389
Scailex CORP Ltd.,315816,3555
SCAN OPTICS INC,87086,3577
SCANA CORP,754737,4931
SCANNER TECHNOLOGIES CORP,217222,3559
SCANSOURCE INC,918965,5045
SCAPPLE INC,1252277,9995
SCBT FINANCIAL CORP,764038,6022
SCE FUNDING LLC,1041856,6189
SCHAWK INC,719164,2790
SCHERING AKTIENGESELLSCHAFT,1124139,2834
SCHERING PLOUGH CORP,310158,2834
"SCHIFF NUTRITION INTERNATIONAL, INC.",1022368,5140
SCHLUMBERGER LTD /NV/,87347,1389
SCHMITT INDUSTRIES INC,922612,3823
SCHNITZER STEEL INDUSTRIES INC,912603,5090
SCHOLASTIC CORP,866729,2731
SCHOOL SPECIALTY INC,1055454,5000
SCHULMAN A INC,87565,2821
SCHWAB CHARLES CORP,316709,6211
SCHWEITZER MAUDUIT INTERNATIONAL INC,1000623,2621
SCICLONE PHARMACEUTICALS INC,880771,2834
"SCIELE PHARMA, INC.",1106773,2834
SCIENCE APPLICATIONS INTERNATIONAL CORP,353394,8700
SCIENCE DYNAMICS CORP,350644,3661
SCIENTIFIC ENERGY INC,1276531,6794
SCIENTIFIC GAMES CORP,750004,7373
SCIENTIFIC INDUSTRIES INC,87802,3826
SCIENTIFIC LEARNING CORP,1042173,8200
SCIENTIFIC TECHNOLOGIES INC,708250,3827
"Scientigo, Inc.",1043933,7372
SCM MICROSYSTEMS INC,1036044,3577
SCO GROUP INC,1102542,7372
"SCOLR Pharma, Inc.",934936,2835
SCOR,1023027,6311
SCORES HOLDING CO INC,831489,7900
SCOTIA PACIFIC CO LLC,1066797,2421
SCOTTISH POWER PLC,1045513,4900
SCOTTISH RE GROUP LTD,1064122,6311
SCOTTS LIQUID GOLD INC,88000,2844
SCOTTS MIRACLE-GRO CO,825542,2870
SCPIE HOLDINGS INC,1013609,6399
SCRIPPS E W CO /DE,832428,2711
SDG&E FUNDING LLC A DE LIMITED LIABILITY CO,1041864,6189
SE FINANCIAL CORP,1277138,6035
SEA BREEZE POWER CORP,1278145,4911
SEA CONTAINERS LTD /NY/,88095,4400
SEA SUN CAPITAL CORP,1116205,6770
SEABOARD CORP /DE/,88121,2011
SEABRIDGE GOLD INC,1231346,1040
SEABRIGHT INSURANCE HOLDINGS INC,1267201,6331
SEACHANGE INTERNATIONAL INC,1019671,3663
SEACOAST BANKING CORP OF FLORIDA,730708,6022
SEACOR HOLDINGS INC /NEW/,859598,4412
SEAENA INC.,1091356,5900
SEAGATE TECHNOLOGY,1137789,3572
SEALED AIR CORP/DE,1012100,2670
SEALIFE CORP,749753,3990
Sealy Mattress CORP,1295735,2510
"SEAMLESS WI-FI, INC.",880584,7370
SEARCHHELP INC,1163573,7380
Searchlight Minerals Corp.,1084226,7389
SEASONS BANCSHARES INC,1168643,6021
SEATTLE GENETICS INC /WA,1060736,2836
SEAWRIGHT HOLDINGS INC,1132887,2086
Securac Corp,775926,7371
SECURE COMPUTING CORP,1001916,3577
"Secure Technologies Group, Inc.",316618,3577
SECURECARE TECHNOLOGIES INC,18530,7374
SECURED DIGITAL APPLICATIONS INC,940516,7380
SECURED DIVERSIFIED INVESTMENT LTD,13156,7812
"SECURED FINANCIAL NETWORK, INC.",1100394,6153
SECURED INCOME L P,804217,6500
SECURED SERVICES INC,851943,7371
SecureLogic Corp,1098875,7372
Securitized Asset Back Receivables LLC Trust 2004-DO2,1304570,6189
Securitized Asset Back Receivables LLC Trust 2004-OP2,1303951,6189
SECURITIZED ASSET BACKED REC LLC TRUST 2004 NC1,1287077,6189
Securitized Asset Backed Receivables LLC Trust 2004-DO1,1297330,6189
SECURITIZED ASSET BACKED RECEIVABLES LLC TRUST 2004-NC2,1301448,6189
SECURITIZED ASSET BACKED RECEIVABLES LLC TRUST 2004-OP1,1283459,6189
SECURITY BANK CORP,925464,6022
SECURITY CAPITAL CORP/DE/,314340,6411
SECURITY CAPITAL CORP/MS,725537,6029
SECURITY FEDERAL CORP,818677,6035
SECURITY INTELLIGENCE TECHNOLOGIES INC,1117258,3990
SECURITY LAND & DEVELOPMENT CORP,88572,6532
SECURITY NATIONAL FINANCIAL CORP,318673,6199
SEDONA CORP,764843,7372
SEGWAY IV CORP,1111285,9995
SEI INVESTMENTS CO,350894,6211
SEITEL INC,750813,1382
SELECT COMFORT CORP,827187,2510
Select Notes Trust LT 2004-1,1293234,6189
SELECTICA INC,1090908,7372
SELECTIVE INSURANCE GROUP INC,230557,6331
SEMCO ENERGY INC,277158,4924
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,1267482,3674
SEMITOOL INC,934550,3559
SEMOTUS SOLUTIONS INC,832370,7389
SEMPRA ENERGY,1032208,4932
SEMTECH CORP,88941,3674
SENECA FOODS CORP /NY/,88948,2033
Seneca Gaming Corp,1296785,7990
SENESCO TECHNOLOGIES INC,1035354,8731
SENETEK PLC /ENG/,789944,2836
SENIOR HOUSING PROPERTIES TRUST,1075415,6798
SENIOR OPTICIAN SERVICE INC,1101423,9995
SENOMYX INC,1123979,8731
SENSE HOLDINGS INC,1093903,3990
SENSE TECHNOLOGIES INC,1077638,1000
SENSIENT TECHNOLOGIES CORP,310142,2860
SENSOR SYSTEM SOLUTIONS INC,1111872,7389
SENSUS METERING SYSTEMS BERMUDA 2 LTD,1281226,3824
SENSUS METERING SYSTEMS INC,1281223,3824
SENTEX SENSING TECHNOLOGY INC,729599,3829
SENTIGEN HOLDING CORP,864890,8731
SENTO CORP,4317,7373
SENTRY TECHNOLOGY CORP,1030708,3669
SEPRACOR INC /DE/,877357,2834
SEQUA CORP /DE/,95301,3724
SEQUENOM INC,1076481,8731
SEQUIAM CORP,1123606,7373
SEQUOIA MORTGAGE FUNDING CORP,1033146,6189
SERACARE LIFE SCIENCES INC,1156295,2835
SEREFEX CORP,773937,2670
SEROLOGICALS CORP,767673,2836
SERONO S A,1117399,2836
SERVICE 1ST BANCORP,1225078,6022
SERVICE AIR GROUP INC,1111286,9995
SERVICE BANCORP INC,1063939,6022
SERVICE CORPORATION INTERNATIONAL,89089,7200
SERVICEMASTER CO,1052045,8741
"SERVIDYNE, INC.",1923,1540
SERVOTRONICS INC /DE/,89140,3420
SEVERN BANCORP INC,868271,6021
SFBC INTERNATIONAL INC,1089542,8731
"SFSB, Inc.",1303026,6035
SGD HOLDINGS LTD,1106836,5094
SGL CARBON AKTIENGESELLSCHAFT,1015111,3620
SHALLBETTER INDUSTRIES INC,1121260,6770
Shamir Optical Industry Ltd.,1317362,3851
SHANDA INTERACTIVE ENTERTAINMENT LTD,1278308,7389
SHANNON INTERNATIONAL INC,1081047,1382
SHARP HOLDING CORP,1101588,7372
SHARPE RESOURCES CORP,1024696,1382
SHARPER IMAGE CORP,811696,5940
SHARPS COMPLIANCE CORP,898770,3842
SHAW COMMUNICATIONS INC,932872,4841
SHAW GROUP INC,914024,3490
SHEARSON FINANCIAL NETWORK INC,1138173,6199
SHEARSON LEHMAN SELECT ADVISORS FUTURES FUND L P,811078,6798
SHEARSON MID WEST FUTURES FUND,924875,6798
"SHEERVISION, INC.",1096187,3827
SHEFFIELD PHARMACEUTICALS INC,894158,6770
SHELBY GROUP INC,1140459,9995
SHELL CANADA LTD,702983,2911
SHELLS SEAFOOD RESTAURANTS INC,935066,5812
SHELRON GROUP INC,1125903,3576
SHELTER PROPERTIES I LTD PARTNERSHIP,316220,6512
SHELTER PROPERTIES II LTD PARTNERSHIP,319723,6500
SHELTER PROPERTIES III LTD PARTNERSHIP,353282,6500
SHELTER PROPERTIES IV LIMITED PARTNERSHIP,702174,6500
SHELTER PROPERTIES V LIMITED PARTNERSHIP,712753,6500
SHELTER PROPERTIES VI LIMITED PARTNERSHIP,730013,6500
SHELTER PROPERTIES VII LTD PARTNERSHIP,758009,6500
SHENANDOAH TELECOMMUNICATIONS CO/VA/,354963,4813
SHERIDAN GROUP INC,1056035,2750
SHERWIN WILLIAMS CO,89800,5200
SHILOH INDUSTRIES INC,904979,3460
"SHINECO, INC.",1300734,6770
SHINHAN FINANCIAL GROUP CO LTD,1263043,6021
Ship Finance International LTD,1289877,4412
Shire plc,936402,2834
SHOE CARNIVAL INC,895447,5661
SHOE PAVILION INC,1051009,5661
SHORE BANCSHARES INC,1035092,6021
SHORE FINANCIAL CORP,1045690,6022
SHUFFLE MASTER INC,718789,3990
SHUMATE INDUSTRIES INC,1085254,3440
SHURGARD STORAGE CENTERS INC,906933,6798
"SI Financial Group, Inc.",1292580,6035
SI INTERNATIONAL INC,1143363,7373
"Siam Imports, Inc.",1295923,5099
Siberian Energy Group Inc.,1301299,1381
"Sibling Entertainment Group, Inc.",1057222,7990
SIBONEY CORP,90057,7389
SICLONE INDUSTRIES INC,1083446,6770
SIEBERT FINANCIAL CORP,65596,6211
SIEMENS AKTIENGESELLSCHAFT,1135644,4813
SIERRA BANCORP,1130144,6022
SIERRA HEALTH SERVICES INC,754009,6324
SIERRA MONITOR CORP /CA/,100625,3829
SIERRA PACIFIC POWER CO,90144,4931
SIERRA PACIFIC RESOURCES /NV/,741508,4931
SIERRA RESOURCE GROUP INC,1076966,6770
SIERRA WIRELESS INC,1111863,3663
SIFCO INDUSTRIES INC,90168,3724
SIFY LTD,1094324,7370
SIGA TECHNOLOGIES INC,1010086,2834
SIGMA ALDRICH CORP,90185,5160
SIGMA DESIGNS INC,790715,3577
SIGMATEL INC,1043639,3674
SIGMATRON INTERNATIONAL INC,915358,3672
SIGN MEDIA SYSTEMS INC,1277859,7310
SIGNAL HILL CORP /CO/,808447,6770
"SIGNALIFE, INC.",810365,3845
SIGNATURE EYEWEAR INC,1036292,3851
SIGNATURE LEISURE INC,1135194,5500
SIGNET GROUP PLC,832988,5944
SILGAN HOLDINGS INC,849869,3411
SILICOM LTD,916793,3576
SILICON GRAPHICS INC,802301,3571
SILICON IMAGE INC,1003214,3670
SILICON LABORATORIES INC,1038074,3674
SILICON STORAGE TECHNOLOGY INC,855906,3674
SILICONWARE PRECISION INDUSTRIES CO LTD,1111759,3674
SILVER BUTTE MINING CO,90310,1000
"SILVER DRAGON RESOURCES, INC.",1017290,1040
SILVER LEGACY CAPITAL CORP,1171078,9995
SILVER SCREEN STUDIOS INC,1262456,7389
SILVER STANDARD RESOURCES INC,921638,6795
SILVER STAR ENERGY INC,1216964,1311
SILVERADO FINANCIAL INC,1032405,6162
SILVERADO GOLD MINES LTD,731727,1040
SILVERGRAPH INTERNATIONAL INC,1115975,9995
SILVERLEAF RESORTS INC,1033032,6531
SILVERSTAR HOLDINGS LTD,1003390,7900
SIMCLAR INC,764039,3679
SIMMONS BEDDING CO,1014022,2511
SIMMONS FIRST NATIONAL CORP,90498,6021
SIMON PROPERTY GROUP INC /DE/,1063761,6798
SIMON PROPERTY GROUP L P /DE/,1022344,6798
SIMON WORLDWIDE INC,864264,2300
SIMPLAGENE USA INC,1192323,7389
SIMPLETECH INC,1102741,3572
SIMPSON MANUFACTURING CO INC /CA/,920371,3420
SIMTEK CORP,817516,3674
SIMTROL  INC,846775,3663
SIMULATIONS PLUS INC,1023459,7373
SIN HOLDINGS INC,1140414,6500
SINA CORP,1094005,7372
SINCLAIR BROADCAST GROUP INC,912752,4833
SINGING MACHINE CO INC,923601,3652
SINO-American Development CORP,1000686,6500
SINOFRESH HEALTHCARE INC,1171596,2834
SINOPEC SHANGHAI PETROCHEMICAL CO LTD,908732,2821
SINOVAC BIOTECH LTD,1084201,2834
SIRENZA MICRODEVICES INC,1103777,3674
SIRF TECHNOLOGY HOLDINGS INC,1163943,3674
SIRICOMM INC,851199,7372
SIRIUS SATELLITE RADIO INC,908937,4832
SIRNA THERAPEUTICS INC,892112,2834
"SIRONA DENTAL SYSTEMS, INC.",1014507,3843
SISTEMA INTERNACIONAL DE TRANSPORTE DE AUTOBUSES INC,1041398,4100
SITEL CORP,943820,7389
SITESTAR CORP,1096934,7374
SITI-SITES COM INC,812551,7363
"SiVault Systems, Inc.",1101046,4822
SIX FLAGS INC,701374,7990
SIZELER PROPERTY INVESTORS INC,805419,6798
SJW CORP,766829,4941
SK TELECOM CO LTD,1015650,4812
SKECHERS USA INC,1065837,3140
SKF INC,777504,3562
SKILLSOFT PUBLIC LIMITED CO,940181,7372
SKINOVATION PHARMACEUTICAL INC,1118072,6770
SKINS INC.,1300744,3140
SKINVISIBLE INC,1085277,2840
SKREEM ENTERTAINMENT CORP,925661,7900
SKY FINANCIAL GROUP INC,855876,6021
"SKY PETROLEUM, INC.",1183276,1382
"SKYE INTERNATIONAL, INC",1095751,5500
SKYEPHARMA PLC,1018117,2834
SKYLINE CORP,90896,2451
SKYLYNX COMMUNICATIONS INC,1061354,9995
SKYSTAR BIO-PHARMACEUTICAL CO,1076939,7372
SKYTERRA COMMUNICATIONS INC,756502,4899
SKYWEST INC,793733,4512
SKYWORKS SOLUTIONS INC,4127,3674
SL GREEN REALTY CORP,1040971,6798
SL INDUSTRIES INC,89270,3679
SLADES FERRY BANCORP,857499,6022
SLM CORP,1032033,6141
SLM Private Credit Student Loan Trust 2002-A,1321786,6189
SLM Private Credit Student Loan Trust 2003-A,1321788,6189
SLM Private Credit Student Loan Trust 2003-B,1321771,6189
SLM Private Credit Student Loan Trust 2003-C,1321792,6189
SLM Private Credit Student Loan Trust 2004-A,1321795,6189
SLM Private Credit Student Loan Trust 2004-B,1321793,6189
SLM Student Loan Trust 1996-2,1321798,6189
SLM Student Loan Trust 1996-3,1321663,6189
SLM Student Loan Trust 1996-4,1321665,6189
SLM Student Loan Trust 1997-1,1321669,6189
SLM Student Loan Trust 1997-2,1321694,6189
SLM Student Loan Trust 1997-3,1321693,6189
SLM Student Loan Trust 1997-4,1321692,6189
SLM Student Loan Trust 1998-1,1321691,6189
SLM Student Loan Trust 1998-2,1321690,6189
SLM Student Loan Trust 1999-1,1321667,6189
SLM Student Loan Trust 1999-2,1321717,6189
SLM Student Loan Trust 1999-3,1321715,6189
SLM Student Loan Trust 2000-1,1321713,6189
SLM Student Loan Trust 2000-2,1321718,6189
SLM Student Loan Trust 2000-3,1321719,6189
SLM Student Loan Trust 2000-4,1321720,6189
SLM Student Loan Trust 2001-1,1321761,6189
SLM Student Loan Trust 2001-2,1321762,6189
SLM Student Loan Trust 2001-3,1321772,6189
SLM Student Loan Trust 2001-4,1321757,6189
SLM Student Loan Trust 2002-1,1321758,6189
SLM Student Loan Trust 2002-2,1321760,6189
SLM Student Loan Trust 2002-3,1321759,6189
SLM Student Loan Trust 2002-4,1321799,6189
SLM Student Loan Trust 2002-5,1321774,6189
SLM Student Loan Trust 2002-6,1321776,6189
SLM Student Loan Trust 2002-7,1321779,6189
SLM Student Loan Trust 2002-8,1321781,6189
SLM Student Loan Trust 2003-1,1321778,6189
SLM Student Loan Trust 2003-11,1321764,6189
SLM STudent Loan Trust 2003-12,1321765,6189
SLM Student Loan Trust 2003-14,1321754,6189
SLM Student Loan Trust 2003-2,1321780,6189
SLM Student Loan Trust 2003-3,1321775,6189
SLM Student Loan Trust 2003-4,1321767,6189
SLM Student Loan Trust 2003-5,1321800,6189
SLM Student Loan Trust 2003-6,1321773,6189
SLM Student Loan Trust 2003-7,1321755,6189
SLM Student Loan Trust 2003-9,1321756,6189
SLM Student Loan Trust 2004-1,1321766,6189
SLM Student Loan Trust 2004-10,1321769,6189
SLM Student Loan Trust 2004-2,1321783,6189
SLM Student Loan Trust 2004-3,1321782,6189
SLM Student Loan Trust 2004-4,1321789,6189
SLM Student Loan Trust 2004-5,1321784,6189
SLM Student Loan Trust 2004-6,1321794,6189
SLM Student Loan Trust 2004-7,1321777,6189
SLM Student Loan Trust 2004-8,1321785,6189
SLM Student Loan Trust 2004-9,1321768,6189
SLM Student Loant Trust 2003-8,1321763,6189
SLS INTERNATIONAL INC,1121785,3651
SM&A,1050031,8742
SMALL WORLD KIDS INC,1157564,3944
SMART & FINAL INC/DE,875751,5140
"Smart Energy Solutions, Inc.",1086082,6794
SMART ONLINE INC,1113513,7372
SMART VIDEO TECHNOLOGIES INC,1089525,7389
SMART WORLD UNITED INC,1124402,7389
SMARTIRE SYSTEMS INC,1057293,3823
"SmartMetric, Inc.",1301991,3990
SmartPros Ltd.,1289863,8200
SMI PRODUCTS INC,1133869,7389
SMITH & NEPHEW PLC,845982,3842
SMITH & WESSON HOLDING CORP,1092796,3480
SMITH & WOLLENSKY RESTAURANT GROUP INC,1137047,5812
SMITH A O CORP,91142,3621
SMITH BARNEY AAA ENERGY FUND LP /NY,1057051,6200
SMITH BARNEY DIVERSIFIED FUTURES FUND L P II,923660,6798
SMITH BARNEY DIVERSIFIED FUTURES FUND LP,911503,6221
SMITH BARNEY MID WEST FUTURES FUND LP II,1013167,6221
SMITH BARNEY POTOMAC FUTURES FUND LP,1043565,6221
SMITH BARNEY WESTPORT FUTURES FUND LP,1037189,6221
SMITH INTERNATIONAL INC,721083,2890
SMITH MICRO SOFTWARE INC,948708,7372
SMITH MIDLAND CORP,924719,3272
SMITHFIELD FOODS INC,91388,2011
SMITHTOWN BANCORP INC,747345,6022
SMITHWAY MOTOR XPRESS CORP,941914,4213
SMTC CORP,1108320,3672
SMUCKER J M CO,91419,2033
SMURFIT KAPPA FUNDING PLC,1207316,5110
SMURFIT STONE CONTAINER CORP,919226,2631
SMURFIT-STONE CONTAINER ENTERPRISES INC,94610,2631
SNAP ON INC,91440,3420
SNRG CORP,1102944,1000
SOCKET COMMUNICATIONS INC,944075,3571
SODEXHO ALLIANCE SA,1169715,8741
SOFTECH INC,354260,7373
SoftNet Technology Corp.,51387,3571
SOHU COM INC,1104188,7374
SOIL BIOGENICS LTD,1049576,1000
SOLANEX MANAGEMENT INC,1165006,4955
SOLAR ENERGY LTD,1058322,4931
SOLAR ENERGY SOURCES INC.,1078858,7389
"Solar Thin Films, Inc.",859792,5082
SOLECTRON CORP,835541,3672
"Solexa, Inc.",913275,2833
SOLITARIO RESOURCES CORP,917225,1040
SOLITRON DEVICES INC,91668,3674
Solo Cup CO,1294608,3089
SOLOMON TECHNOLOGIES INC,1240722,3621
SOLPOWER CORP,1068618,2800
SOLUTIA INC,1043382,2800
SOMANETICS CORP,704328,3845
Somanta Pharmaceuticals Inc.,888671,2834
SOMERA COMMUNICATIONS INC,1094243,5065
SOMERSET HILLS BANCORP,1189396,6022
"SOMERSET INTERNATIONAL GROUP,INC.",350524,3669
SONA DEVELOPMENT CORP,1099728,9995
SONA MOBILE HOLDINGS CORP,719662,7372
SONESTA INTERNATIONAL HOTELS CORP,91741,7011
SONGZAI INTERNATIONAL HOLDING GROUP INC,1145761,1220
SONIC AUTOMOTIVE INC,1043509,5500
SONIC CORP,868611,5812
SONIC ENVIRONMENTAL SOLUTIONS INC/CAN,1270778,3825
SONIC FOUNDRY INC,1029744,3663
SONIC INNOVATIONS INC,1105982,3842
SONIC SOLUTIONS/CA/,916235,7373
SONICWALL INC,1093885,7389
SONO TEK CORP,806172,3690
SONOCO PRODUCTS CO,91767,2650
SONOMA VALLEY BANCORP,1120427,6021
SONOMAWEST HOLDINGS INC,102588,6519
SONORAN ENERGY INC,1101661,1311
SONOSITE INC,1055355,3841
SONTRA MEDICAL CORP,1031927,3845
SONUS NETWORKS INC,1105472,7373
SONUS PHARMACEUTICALS INC,949858,2835
SONY CORP,313838,3651
"SORELL, INC",1073090,9995
SORL Auto Parts Inc,714284,5945
SOTHEBYS,823094,7389
SOUND FEDERAL BANCORP INC,1064236,6035
Sound Revolution Inc.,1300867,7372
SOUNDVIEW HOME LOAN TRUST 2004-1,1299958,6189
Soundview Home Loan Trust 2004-WMC1,1312131,6189
SOURCE INTERLINK COMPANIES INC,943605,7331
SOUTH CAROLINA ELECTRIC & GAS CO,91882,4931
SOUTH DAKOTA SOYBEAN PROCESSORS LLC,1163609,700
SOUTH FINANCIAL GROUP INC,797871,6022
SOUTH HERTFORDSHIRE UNITED KINGDOM FUND LTD,857957,4841
SOUTH JERSEY GAS CO/NEW,1035216,4923
SOUTH JERSEY INDUSTRIES INC,91928,4924
SOUTH STREET FINANCIAL CORP,1014964,6036
SOUTH TEXAS OIL CO,1288946,1311
SOUTHCOAST FINANCIAL CORP,1083689,6022
SOUTHCREST FINANCIAL GROUP INC,1279756,6021
SOUTHEAST ACQUISITIONS II LP,829905,6552
SOUTHEAST AIRPORT GROUP,1123452,4581
Southeastern Bank Financial CORP,880116,6022
SOUTHEASTERN BANKING CORP,353386,6022
SOUTHERN BANC CO INC,946453,6035
SOUTHERN CALIFORNIA EDISON CO,92103,4911
SOUTHERN CALIFORNIA GAS CO,92108,4922
SOUTHERN CO,92122,4911
SOUTHERN COMMUNITY BANCSHARES INC /GA,1171017,6021
SOUTHERN COMMUNITY FINANCIAL CORP,1159427,6022
SOUTHERN CONNECTICUT BANCORP INC,1137046,6021
